ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
1988/89             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,400.0,27.3,0.1
1988/89             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,34.7,26.6,0.8
1988/89             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,10.9,0.6,0.1
1988/89             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,126.8,25.7,0.2
1988/89             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,45.0,27.2,0.6
1988/89             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,43.4,19.7,0.5
1988/89             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,10.7,2.0,0.2
1988/89             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,126.5,12.5,0.1
1988/89             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,67.0,4.4,0.1
1988/89             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,187.0,16.2,0.1
1988/89             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,415.0,289.8,0.7
1988/89             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,148.5,8.5,0.1
1988/89             ,UNICA          ,RO,ALGODAO EM PLUMA                        ,4586,15.5,7.7,0.5
1988/89             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,13.8,1.2,0.1
1988/89             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,271.8,187.4,0.7
1989/90             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,15.8,1.1,0.1
1989/90             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,198.4,43.1,0.2
1989/90             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,288.0,19.6,0.1
1989/90             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,47.2,29.2,0.6
